job_id,it_id,it_slug,en_id,en_slug,source_hash,status,error,input_tokens,output_tokens,cost_usd,timestamp
pilot-20260418,022ab78d-54b0-4dc6-8171-7c1e142c9a02,un-antidoto-alla-disperazione,af2a4704-b683-4af9-8eee-e3138f247263,un-antidoto-alla-disperazione-en,63716e8ce530a6ce,ok,,1235,574,0.003284,2026-04-18T14:35:49.133068
pilot-20260418,022c182e-41bb-411f-83cc-40e25bd3b246,fausta,8804c158-557a-43ca-bc87-9041be61d647,fausta-en,0a1d3572c4dd5b3c,ok,,1770,959,0.005252,2026-04-18T14:35:54.166526
pilot-20260418,0237d4e3-92da-4562-a09c-7a60ed4ed133,la-stanza-dellorso-e-dellape-recensione,07fe7276-32f6-4e37-9ce4-cb545e8cb7d1,la-stanza-dellorso-e-dellape-recensione-en,d8af5fb5b8c79dd3,ok,,1483,731,0.00411,2026-04-18T14:36:04.993375
pilot-20260418,024197d3-b6bc-4155-932a-6e767a1a0261,alto-come-un-vaso-di-gerani-recensione,488c328e-5429-47a7-9282-ed5aa4b5a9b1,alto-come-un-vaso-di-gerani-recensione-en,cccd5887f4059be3,ok,,857,277,0.001794,2026-04-18T14:36:11.034888
pilot-20260418,025ac8ca-fe22-4bd5-8e1a-12ce8a178d72,lettera-ai-giovani,bb214daf-e4ac-474c-b277-b3133cf06a12,lettera-ai-giovani-en,6fa7de29d1906fc1,ok,,1248,540,0.003158,2026-04-18T14:36:13.962819
pilot-20260418,0280a50b-f230-4543-9a9c-0136561bd6e7,autocertificazione-non-basta,b94eb3c4-7aac-49c3-a0b6-5557d7ce64b3,autocertificazione-non-basta-en,6e88aaa98deb2669,ok,,1670,808,0.004568,2026-04-18T14:36:18.911387
pilot-20260418,029cc311-db14-4c56-8e1b-50c73a79d6f6,il-mio-piede-sinistro-il-film,2ff68e37-6247-429f-b703-e68ccb819309,il-mio-piede-sinistro-il-film-en,e6544eee1aadfaff,ok,,1415,675,0.003832,2026-04-18T14:36:26.708669
pilot-20260418,02ab40b7-a34a-4203-9d62-299120fc9f4d,dalle-un-bacio,3a720aaa-0aa5-40e2-b607-30759ba25949,dalle-un-bacio-en,0a5aee178b689f83,ok,,1322,611,0.003502,2026-04-18T14:36:32.726429
pilot-20260418,02b4030d-9b84-4a5c-af27-309cea2a9671,special-olympics-dove-tutto-e-diverso-da-tutto,bcd7f06f-92de-470f-ac8d-50e6da862eca,special-olympics-dove-tutto-e-diverso-da-tutto-en,9a351b3f428b5c89,ok,,2559,1483,0.007979,2026-04-18T14:36:37.885757
pilot-20260418,02b43b29-568f-486f-aa7a-a0b720f1f00c,antonio-nicaso-mondadori,9453b179-4505-4c14-a218-9e6732d4801f,antonio-nicaso-mondadori-en,3ead7a44ab5d8140,ok,,1026,372,0.002309,2026-04-18T14:36:52.588616
