path,changed,issues,max_line_before,max_line_after,chars_before,chars_after
src/content/blog/en/extra-web/journey-of-unchanged-affection-celebrating-24-years-of-faith-and-light.md,yes,monoblock_long_line,1541,461,3377,3388
src/content/blog/en/extra-web/mother-teresa-of-calcutta-dedicated-to-children-and-to-all-of-us.md,yes,,309,309,3548,3539
src/content/blog/en/extra-web/we-are-dads-of-disabled-children-a-different-way-of-love.md,yes,monoblock_long_line,566,366,2391,2396
src/content/blog/en/INS-15/esperienze-i-campi-dellestate-1977.md,yes,monoblock_long_line,502,450,12880,12884
src/content/blog/en/INS-23/come-mettere-in-quattro-righe-oltre-10-anni-di-vita.md,yes,monoblock_long_line,627,426,4311,4317
src/content/blog/en/INS-30/three-lives-with-sabina-a-fathers-journey-through-darkness-hope-and-love.md,yes,monoblock_long_line,739,294,5108,5139
src/content/blog/en/OEL-113/la-pecora-nera-recensione-film.md,yes,monoblock_long_line,2665,595,2694,2706
src/content/blog/en/OEL-113/precious-recensione-film.md,yes,monoblock_long_line,913,485,3208,3218
src/content/blog/en/OEL-113/una-sconfinata-giovinezza-recensione-film.md,yes,monoblock_long_line,1028,409,3005,2984
src/content/blog/en/OEL-113/uomini-di-dio-recensione-film.md,yes,monoblock_long_line,1492,424,3465,3489
src/content/blog/en/OEL-128/lourdes-a-miracle-of-encounter.md,yes,monoblock_long_line,1067,280,3320,3347
src/content/blog/en/OEL-128/mirtilli.md,yes,monoblock_long_line,5918,472,5941,5980
src/content/blog/en/OEL-133/il-libro-di-cristopher-a-wonder-story-recensione.md,yes,,433,431,579,551
src/content/blog/en/OEL-133/il-libro-di-julian-a-wonder-story-recensione.md,yes,monoblock_long_line,954,280,979,984
src/content/blog/en/OEL-136/genitori-recensione-film.md,yes,monoblock_long_line,1287,213,1318,1327
src/content/blog/en/OEL-136/mio-fratello-rincorre-i-dinosauri-il-libro-e-il-film.md,yes,monoblock_long_line,818,439,3649,3659
src/content/blog/en/OEL-139/come-and-see-meeting-dei-giovani-ad-alicante.md,yes,monoblock_long_line,3018,383,3048,3066
src/content/blog/en/OEL-140/humanitarian-corridors-a-lifeline-for-refugees-including-those-with-disabilities.md,yes,monoblock_long_line,801,535,8250,8265
src/content/blog/en/OEL-141/perche-tutti-comprendano.md,yes,monoblock_long_line,905,461,4231,4240
src/content/blog/en/OEL-142/segni-di-meraviglia.md,yes,monoblock_long_line,2095,631,5397,5383
src/content/blog/en/OEL-143/fano-2018-the-best-of-our-youth.md,yes,monoblock_long_line,2230,491,9905,9957
src/content/blog/en/OEL-144/attraverso-te-docufilm-in-proiezione-gratuita-al-cineland-di-roma.md,yes,"html_generic,monoblock_long_line",626,333,2997,2430
src/content/blog/en/OEL-144/disability-pride-il-15-luglio-a-roma-per-i-diritti-delle-persone-disabili.md,yes,"html_generic,monoblock_long_line",1534,1016,6495,5945
src/content/blog/en/OEL-144/gli-oscar-premiano-la-disabilita-il-miglior-corto-e-la-storia-di-una-bambina-sorda.md,yes,"html_generic,monoblock_long_line",1571,408,2952,2394
src/content/blog/en/OEL-144/in-your-shoes-i-progetti-di-inclusione-sociale-degli-studenti-trevigiani.md,yes,"html_generic,monoblock_long_line",1328,416,5715,5152
src/content/blog/en/OEL-144/play-day-2018-a-venezia-accorciare-le-distanze-della-disabilita-con-lo-sport.md,yes,"html_generic,monoblock_long_line",1005,557,5091,4531
src/content/blog/en/OEL-144/siediti-nei-nostri-panni-passeggiata-su-4-ruote-a-piazza-di-spagna.md,yes,monoblock_long_line,1775,1068,2976,2979
src/content/blog/en/OEL-144/vieni-e-vedi-a-fano-la-formazione-giovani-di-fede-e-luce.md,yes,monoblock_long_line,1052,276,1053,1059
src/content/blog/en/OEL-144/wdsd-2018-giornata-mondiale-delle-persone-con-sindrome-di-down.md,yes,"html_generic,monoblock_long_line",626,244,2350,1785
src/content/blog/en/OEL-145/a-good-and-perfect-gift.md,yes,monoblock_long_line,921,450,2479,2484
src/content/blog/en/OEL-146/la-tenerezza-di-jean-in-un-film.md,yes,monoblock_long_line,1955,524,3366,3347
src/content/blog/en/OEL-146/lautista-piu-illustre.md,yes,monoblock_long_line,700,589,5014,5021
src/content/blog/en/OEL-148/atad-a-roma-ritorna-la-conferenza-sulle-tecnologie-assistive-per-la-disabilita.md,yes,monoblock_long_line,652,652,3263,3264
src/content/blog/en/OEL-148/cinema-e-disabilita-3-film-secondo-alessandro-de-simone.md,yes,monoblock_long_line,728,240,5478,5499
src/content/blog/en/OEL-148/cinema-e-disabilita-3-film-secondo-federica-aliano.md,yes,monoblock_long_line,777,426,5633,5650
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-adriano-ercolani.md,yes,monoblock_long_line,511,382,5197,5205
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-andrea-guglielmino.md,yes,monoblock_long_line,1443,693,8091,8105
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-boris-sollazzo.md,yes,monoblock_long_line,655,463,5958,5974
src/content/blog/en/OEL-148/cinema-e-disabilita-i-3-film-di-edoardo-zaccagnini.md,yes,monoblock_long_line,800,353,5744,5755
